wn,wl,T
1724.1379,5.800,0.0089
1739.1304,5.750,0.0118
1754.3860,5.700,0.0197
1769.9115,5.650,0.0522
1785.7143,5.600,0.1218
1801.8018,5.550,0.2110
1818.1818,5.500,0.2851
1834.8624,5.450,0.3795
1851.8519,5.400,0.4299
1869.1589,5.350,0.4626
1886.7925,5.300,0.5009
1904.7619,5.250,0.5363
1923.0769,5.200,0.5654
1941.7476,5.150,0.5875
1960.7843,5.100,0.6097
1980.1980,5.050,0.6355
2000.0000,5.000,0.6628
2020.2020,4.950,0.6960
2040.8163,4.900,0.7351
2061.8557,4.850,0.7699
2083.3333,4.800,0.7869
2105.2632,4.750,0.8009
2127.6596,4.700,0.8149
2150.5376,4.650,0.8295
2173.9130,4.600,0.8545
2197.8022,4.550,0.8786
2222.2222,4.500,0.8958
2247.1910,4.450,0.9120
2272.7273,4.400,0.9342
2298.8506,4.350,0.9397
2325.5814,4.300,0.9518
2352.9412,4.250,0.9677
2380.9524,4.200,0.9793
2409.6386,4.150,0.9793
2439.0244,4.100,0.9891
2469.1358,4.050,0.9941
2500.0000,4.000,0.9941
2531.6456,3.950,1.0000
2564.1026,3.900,1.0000
2597.4026,3.850,0.9941
2631.5789,3.800,0.9809
2666.6667,3.750,0.9690
2702.7027,3.700,0.9544
2739.7260,3.650,0.9497
2777.7778,3.600,0.9506
2816.9014,3.550,0.9336
2857.1429,3.500,0.9127
2898.5507,3.450,0.8881
2941.1765,3.400,0.8660
2985.0746,3.350,0.8480
3030.3030,3.300,0.8343
3076.9231,3.250,0.8369
3125.0000,3.200,0.8402
3174.6032,3.150,0.8442
3225.8065,3.100,0.8491
3278.6885,3.050,0.8521
3333.3333,3.000,0.8580
3389.8305,2.950,0.8618
3448.2759,2.900,0.8669
3508.7719,2.850,0.8721
3571.4286,2.800,0.8772
3636.3636,2.750,0.8817
3703.7037,2.700,0.8875
3773.5849,2.650,0.8927
3846.1538,2.600,0.8935
3921.5686,2.550,0.8811
4000.0000,2.500,0.8785
4081.6327,2.450,0.8826
4166.6667,2.400,0.8644
4255.3191,2.350,0.8389
4347.8261,2.300,0.8142
4444.4444,2.250,0.8018
4545.4545,2.200,0.8036
4651.1628,2.150,0.7955
4761.9048,2.100,0.7820
4878.0488,2.050,0.7692
5000.0000,2.000,0.7594
5128.2051,1.950,0.7422
5263.1579,1.900,0.7231
5405.4054,1.850,0.7101
5555.5556,1.800,0.6995
5714.2857,1.750,0.6745
5882.3529,1.700,0.6471
6060.6061,1.650,0.6524
6250.0000,1.600,0.6671
6451.6129,1.550,0.6833
6666.6667,1.500,0.6995
6896.5517,1.450,0.7157
7142.8571,1.400,0.7348
7407.4074,1.350,0.7399
7692.3077,1.300,0.7446
8000.0000,1.250,0.7574
8333.3333,1.200,0.7540
8695.6522,1.150,0.7459
9090.9091,1.100,0.7319
9523.8095,1.050,0.7179
10000.0000,1.000,0.7098
10526.3158,0.950,0.6745
11111.1111,0.900,0.5671
11764.7059,0.850,0.2835
12500.0000,0.800,0.0773
13333.3333,0.750,0.0059
14285.7143,0.700,0.0059
