wn,wl,T
1739.1304,5.750,0.0089
1754.3860,5.700,0.0135
1769.9115,5.650,0.0222
1785.7143,5.600,0.0513
1801.8018,5.550,0.1165
1818.1818,5.500,0.2043
1834.8624,5.450,0.3216
1851.8519,5.400,0.4067
1869.1589,5.350,0.4556
1886.7925,5.300,0.5031
1904.7619,5.250,0.5616
1923.0769,5.200,0.5921
1941.7476,5.150,0.6070
1960.7843,5.100,0.6274
1980.1980,5.050,0.6568
2000.0000,5.000,0.6889
2020.2020,4.950,0.7211
2040.8163,4.900,0.7536
2061.8557,4.850,0.7771
2083.3333,4.800,0.7952
2105.2632,4.750,0.8180
2127.6596,4.700,0.8384
2150.5376,4.650,0.8540
2173.9130,4.600,0.8716
2197.8022,4.550,0.8863
2222.2222,4.500,0.8980
2247.1910,4.450,0.9127
2272.7273,4.400,0.9303
2298.8506,4.350,0.9450
2325.5814,4.300,0.9577
2352.9412,4.250,0.9704
2380.9524,4.200,0.9763
2409.6386,4.150,0.9822
2439.0244,4.100,0.9917
2469.1358,4.050,0.9970
2500.0000,4.000,0.9997
2531.6456,3.950,0.9910
2564.1026,3.900,0.9763
2597.4026,3.850,0.9587
2631.5789,3.800,0.9470
2666.6667,3.750,0.9353
2702.7027,3.700,0.9260
2739.7260,3.650,0.9231
2777.7778,3.600,0.9157
2816.9014,3.550,0.8893
2857.1429,3.500,0.8659
2898.5507,3.450,0.8425
2941.1765,3.400,0.8331
2985.0746,3.350,0.8389
3030.3030,3.300,0.8432
3076.9231,3.250,0.8491
3125.0000,3.200,0.8550
3174.6032,3.150,0.8620
3225.8065,3.100,0.8678
3278.6885,3.050,0.8736
3333.3333,3.000,0.8817
3389.8305,2.950,0.8882
3448.2759,2.900,0.8964
3508.7719,2.850,0.9027
3571.4286,2.800,0.9114
3636.3636,2.750,0.9201
3703.7037,2.700,0.9289
3773.5849,2.650,0.9321
3846.1538,2.600,0.9234
3921.5686,2.550,0.9201
4000.0000,2.500,0.9231
4081.6327,2.450,0.9253
4166.6667,2.400,0.9320
4255.3191,2.350,0.9270
4347.8261,2.300,0.9153
4444.4444,2.250,0.9053
4545.4545,2.200,0.9066
4651.1628,2.150,0.8979
4761.9048,2.100,0.8832
4878.0488,2.050,0.8757
5000.0000,2.000,0.8735
5128.2051,1.950,0.8511
5263.1579,1.900,0.8462
5405.4054,1.850,0.8432
5555.5556,1.800,0.8497
5714.2857,1.750,0.8585
5882.3529,1.700,0.8702
6060.6061,1.650,0.8819
6250.0000,1.600,0.8936
6451.6129,1.550,0.9053
6666.6667,1.500,0.9200
6896.5517,1.450,0.9346
7142.8571,1.400,0.8793
7407.4074,1.350,0.7422
7692.3077,1.300,0.4787
8000.0000,1.250,0.2743
8333.3333,1.200,0.1513
8695.6522,1.150,0.0810
9090.9091,1.100,0.0408
9523.8095,1.050,0.0203
10000.0000,1.000,0.0103
10526.3158,0.950,0.0059
