wn,wl,T
1941.7476,5.150,0.0070
1960.7843,5.100,0.0192
1980.1980,5.050,0.0989
2000.0000,5.000,0.4777
2020.2020,4.950,0.7859
2040.8163,4.900,0.8796
2061.8557,4.850,0.8896
2083.3333,4.800,0.8935
2105.2632,4.750,0.8948
2127.6596,4.700,0.8994
2150.5376,4.650,0.9083
2173.9130,4.600,0.9190
2197.8022,4.550,0.9379
2222.2222,4.500,0.9497
2247.1910,4.450,0.9408
2272.7273,4.400,0.9590
2298.8506,4.350,0.9645
2325.5814,4.300,0.9675
2352.9412,4.250,0.9734
2380.9524,4.200,0.9763
2409.6386,4.150,0.9854
2439.0244,4.100,0.9925
2469.1358,4.050,0.9911
2500.0000,4.000,0.9793
2531.6456,3.950,0.9841
2564.1026,3.900,0.9941
2597.4026,3.850,0.9929
2631.5789,3.800,0.9793
2666.6667,3.750,0.9670
2702.7027,3.700,0.9599
2739.7260,3.650,0.9615
2777.7778,3.600,0.9606
2816.9014,3.550,0.9438
2857.1429,3.500,0.9376
2898.5507,3.450,0.9246
2941.1765,3.400,0.9087
2985.0746,3.350,0.8935
3030.3030,3.300,0.8886
3076.9231,3.250,0.8519
3125.0000,3.200,0.8171
3174.6032,3.150,0.7965
3225.8065,3.100,0.7859
3278.6885,3.050,0.7304
3333.3333,3.000,0.5399
3389.8305,2.950,0.2769
3448.2759,2.900,0.0156
3508.7719,2.850,0.0059
3571.4286,2.800,0.0059
