wn,wl,T
625.0000,16.000,0.0219
628.9308,15.900,0.0309
632.9114,15.800,0.0365
636.9427,15.700,0.0380
641.0256,15.600,0.0380
645.1613,15.500,0.0380
649.3506,15.400,0.0395
653.5948,15.300,0.0450
657.8947,15.200,0.0482
662.2517,15.100,0.0556
666.6667,15.000,0.0621
671.1409,14.900,0.0673
675.6757,14.800,0.0731
680.2721,14.700,0.0813
684.9315,14.600,0.0885
689.6552,14.500,0.1003
694.4444,14.400,0.1155
699.3007,14.300,0.1422
704.2254,14.200,0.1612
709.2199,14.100,0.1765
714.2857,14.000,0.1871
719.4245,13.900,0.1977
724.6377,13.800,0.2098
729.9270,13.700,0.2219
735.2941,13.600,0.2346
740.7407,13.500,0.2496
746.2687,13.400,0.2846
751.8797,13.300,0.3127
757.5758,13.200,0.3494
763.3588,13.100,0.3830
769.2308,13.000,0.4203
775.1938,12.900,0.4574
781.2500,12.800,0.4898
787.4016,12.700,0.5241
793.6508,12.600,0.5547
800.0000,12.500,0.5895
806.4516,12.400,0.6111
813.0081,12.300,0.6188
819.6721,12.200,0.6316
826.4463,12.100,0.6542
833.3333,12.000,0.6835
840.3361,11.900,0.6990
847.4576,11.800,0.7098
854.7009,11.700,0.7288
862.0690,11.600,0.7427
869.5652,11.500,0.7527
877.1930,11.400,0.7654
884.9558,11.300,0.7774
892.8571,11.200,0.7931
900.9009,11.100,0.8121
909.0909,11.000,0.8355
917.4312,10.900,0.8677
925.9259,10.800,0.8904
934.5794,10.700,0.9097
943.3962,10.600,0.9196
952.3810,10.500,0.9183
961.5385,10.400,0.9167
970.8738,10.300,0.9201
980.3922,10.200,0.9320
990.0990,10.100,0.9501
1000.0000,10.000,0.9743
1010.1010,9.900,0.9910
1020.4082,9.800,0.9971
1030.9278,9.700,0.9971
1041.6667,9.600,0.9942
1052.6316,9.500,0.9730
1063.8298,9.400,0.9474
1075.2688,9.300,0.9189
1086.9565,9.200,0.8904
1098.9011,9.100,0.8662
1111.1111,9.000,0.8542
1123.5955,8.900,0.8635
1136.3636,8.800,0.8860
1149.4253,8.700,0.8997
1162.7907,8.600,0.9072
1176.4706,8.500,0.9154
1190.4762,8.400,0.9254
1204.8193,8.300,0.9360
1219.5122,8.200,0.9320
1234.5679,8.100,0.9227
1250.0000,8.000,0.9072
1265.8228,7.900,0.8423
1282.0513,7.800,0.6009
1298.7013,7.700,0.2792
1315.7895,7.600,0.1009
1333.3333,7.500,0.0384
1351.3514,7.400,0.0154
1369.8630,7.300,0.0000
