wn,wl,T
625.0000,16.000,0.0461
628.9308,15.900,0.0621
632.9114,15.800,0.0742
636.9427,15.700,0.0746
641.0256,15.600,0.0746
645.1613,15.500,0.0746
649.3506,15.400,0.0764
653.5948,15.300,0.0830
657.8947,15.200,0.0885
662.2517,15.100,0.0954
666.6667,15.000,0.1045
671.1409,14.900,0.1131
675.6757,14.800,0.1184
680.2721,14.700,0.1281
684.9315,14.600,0.1371
689.6552,14.500,0.1499
694.4444,14.400,0.1769
699.3007,14.300,0.2087
704.2254,14.200,0.2339
709.2199,14.100,0.2531
714.2857,14.000,0.2661
719.4245,13.900,0.2781
724.6377,13.800,0.2917
729.9270,13.700,0.3050
735.2941,13.600,0.3187
740.7407,13.500,0.3386
746.2687,13.400,0.3798
751.8797,13.300,0.4112
757.5758,13.200,0.4503
763.3588,13.100,0.4854
769.2308,13.000,0.5223
775.1938,12.900,0.5570
781.2500,12.800,0.5870
787.4016,12.700,0.6206
793.6508,12.600,0.6482
800.0000,12.500,0.6831
806.4516,12.400,0.6988
813.0081,12.300,0.7050
819.6721,12.200,0.7142
826.4463,12.100,0.7332
833.3333,12.000,0.7639
840.3361,11.900,0.7765
847.4576,11.800,0.7818
854.7009,11.700,0.7915
862.0690,11.600,0.7924
869.5652,11.500,0.7948
877.1930,11.400,0.8019
884.9558,11.300,0.8083
892.8571,11.200,0.8187
900.9009,11.100,0.8352
909.0909,11.000,0.8545
917.4312,10.900,0.8808
925.9259,10.800,0.9035
934.5794,10.700,0.9194
943.3962,10.600,0.9269
952.3810,10.500,0.9242
961.5385,10.400,0.9218
970.8738,10.300,0.9243
980.3922,10.200,0.9360
990.0990,10.100,0.9539
1000.0000,10.000,0.9766
1010.1010,9.900,0.9910
1020.4082,9.800,0.9959
1030.9278,9.700,0.9968
1041.6667,9.600,0.9927
1052.6316,9.500,0.9715
1063.8298,9.400,0.9470
1075.2688,9.300,0.9189
1086.9565,9.200,0.8874
1098.9011,9.100,0.8633
1111.1111,9.000,0.8512
1123.5955,8.900,0.8606
1136.3636,8.800,0.8816
1149.4253,8.700,0.8951
1162.7907,8.600,0.9017
1176.4706,8.500,0.9090
1190.4762,8.400,0.9196
1204.8193,8.300,0.9278
1219.5122,8.200,0.9232
1234.5679,8.100,0.9141
1250.0000,8.000,0.9006
1265.8228,7.900,0.8395
1282.0513,7.800,0.6005
1298.7013,7.700,0.2822
1315.7895,7.600,0.1038
1333.3333,7.500,0.0392
1351.3514,7.400,0.0168
1369.8630,7.300,0.0000
