wn,wl,T
972.124335,10.286750,-0.000110
973.616928,10.270980,-0.000067
975.115064,10.255200,-0.000017
976.617816,10.239420,0.000051
978.124251,10.223650,0.000243
979.636300,10.207870,0.000359
981.152069,10.192100,0.000232
982.673501,10.176320,0.000002
984.199659,10.160540,-0.000074
985.729593,10.144770,0.000030
987.265265,10.128990,0.000036
988.804753,10.113220,0.000015
990.350029,10.097440,0.000017
991.900143,10.081660,0.000099
993.454131,10.065890,0.000250
995.013985,10.050110,0.000499
996.577752,10.034340,0.000759
998.147438,10.018560,0.000753
999.722077,10.002780,0.000491
1001.300690,9.987010,0.000221
1002.885301,9.971230,0.000147
1004.473927,9.955460,0.000285
1006.068606,9.939680,0.000309
1007.668356,9.923900,0.000200
1009.272184,9.908130,0.000033
1010.882146,9.892350,0.000114
1012.496228,9.876580,0.000327
1014.116502,9.860800,0.000541
1015.741969,9.845020,0.000618
1017.371620,9.829250,0.000513
1019.007548,9.813470,0.000406
1020.647703,9.797700,0.000391
1022.294192,9.781920,0.000498
1023.946001,9.766140,0.000490
1025.602105,9.750370,0.000459
1027.264631,9.734590,0.000472
1028.931496,9.718820,0.000531
1030.604841,9.703040,0.000470
1032.283639,9.687260,0.000434
1033.966845,9.671490,0.000535
1035.656622,9.655710,0.000720
1037.350855,9.639940,0.000795
1039.051720,9.624160,0.000573
1040.758172,9.608380,0.000503
1042.469151,9.592610,0.000651
1044.186855,9.576830,0.000902
1045.909136,9.561060,0.000993
1047.638204,9.545280,0.001150
1049.373000,9.529500,0.001396
1051.112445,9.513730,0.001768
1052.858775,9.497950,0.002277
1054.609805,9.482180,0.002880
1056.367785,9.466400,0.003389
1058.131636,9.450620,0.003821
1059.900263,9.434850,0.004243
1061.675940,9.419070,0.004770
1063.456446,9.403300,0.005511
1065.244069,9.387520,0.006453
1067.037711,9.371740,0.007463
1068.836262,9.355970,0.008905
1070.642032,9.340190,0.010938
1072.452764,9.324420,0.013432
1074.270785,9.308640,0.016172
1076.094980,9.292860,0.019477
1077.924220,9.277090,0.023835
1079.760855,9.261310,0.029564
1081.602589,9.245540,0.036886
1083.451791,9.229760,0.046156
1085.307326,9.213980,0.058029
1087.168047,9.198210,0.073450
1089.036344,9.182430,0.093223
1090.909884,9.166660,0.118593
1092.791076,9.150880,0.151473
1094.678767,9.135100,0.193392
1096.571788,9.119330,0.245492
1098.472574,9.103550,0.308600
1100.378750,9.087780,0.382769
1102.292769,9.072000,0.466262
1104.213458,9.056220,0.554873
1106.139628,9.040450,0.642881
1108.073758,9.024670,0.724176
1110.013431,9.008900,0.793580
1111.961144,8.993120,0.848272
1113.915703,8.977340,0.888130
1115.875901,8.961570,0.915201
1117.844260,8.945790,0.932397
1119.818321,8.930020,0.942433
1121.800625,8.914240,0.947778
1123.789959,8.898460,0.950375
1125.785094,8.882690,0.951482
1127.788598,8.866910,0.951997
1129.797970,8.851140,0.952037
1131.815795,8.835360,0.951798
1133.840840,8.819580,0.951613
1135.871855,8.803810,0.951515
1137.911455,8.788030,0.951206
1139.957092,8.772260,0.950183
1142.011402,8.756480,0.948728
1144.073129,8.740700,0.947542
1146.141001,8.724930,0.946533
1148.217679,8.709150,0.945332
1150.300574,8.693380,0.944266
1152.392367,8.677600,0.943734
1154.491781,8.661820,0.943695
1156.597521,8.646050,0.943851
1158.712300,8.630270,0.944200
1160.833478,8.614500,0.944852
1162.963790,8.598720,0.945389
1165.101935,8.582940,0.945726
1167.246594,8.567170,0.946256
1169.400530,8.551390,0.946687
1171.561058,8.535620,0.946433
1173.730962,8.519840,0.945524
1175.908919,8.504060,0.944192
1178.093585,8.488290,0.942525
1180.287778,8.472510,0.940481
1182.488760,8.456740,0.938164
1184.699371,8.440960,0.935497
1186.918262,8.425180,0.932783
1189.144066,8.409410,0.930089
1191.379653,8.393630,0.926493
1193.622238,8.377860,0.921012
1195.874711,8.362080,0.912294
1198.135701,8.346300,0.897682
1200.403816,8.330530,0.873738
1202.681981,8.314750,0.836548
1204.967357,8.298980,0.782515
1207.262894,8.283200,0.710334
1209.567193,8.267420,0.622729
1211.878836,8.251650,0.525697
1214.200807,8.235870,0.427196
1216.530213,8.220100,0.335944
1218.870059,8.204320,0.257159
1221.218923,8.188540,0.193328
1223.575361,8.172770,0.143994
1225.942413,8.156990,0.106603
1228.317132,8.141220,0.078626
1230.702583,8.125440,0.058023
1233.097319,8.109660,0.043029
1235.499865,8.093890,0.032278
1237.913324,8.078110,0.024562
1240.334692,8.062340,0.018742
1242.767096,8.046560,0.014466
1245.209058,8.030780,0.011284
1247.659080,8.015010,0.008786
1250.120324,7.999230,0.007023
1252.589729,7.983460,0.005426
1255.070485,7.967680,0.004012
1257.561086,7.951900,0.003254
1260.060004,7.936130,0.002725
1262.570467,7.920350,0.002168
1265.089353,7.904580,0.001802
1267.619917,7.888800,0.001485
1270.160625,7.873020,0.001139
1272.709918,7.857250,0.000965
1275.271091,7.841470,0.000832
1277.840960,7.825700,0.000602
1280.422847,7.809920,0.000465
1283.015188,7.794140,0.000487
1285.616395,7.778370,0.000602
1288.229831,7.762590,0.000582
1290.852246,7.746820,0.000612
1293.487034,7.731040,0.000585
1296.132600,7.715260,0.000507
1298.787322,7.699490,0.000607
1301.454636,7.683710,0.000478
1304.131227,7.667940,0.000216
1306.820558,7.652160,-0.000045
1309.521003,7.636380,0.000020
1312.230911,7.620610,0.000188
1314.953786,7.604830,0.000127
1317.686248,7.589060,0.000061
1320.431834,7.573280,0.000052
1323.188885,7.557500,0.000057
1325.955716,7.541730,-0.000080
1328.735907,7.525950,0.000016
1331.526009,7.510180,0.000015
1334.329633,7.494400,0.000001
1337.145088,7.478620,0.000197
1339.970655,7.462850,0.000206
1342.809991,7.447070,0.000131
1345.659575,7.431300,0.000159
1348.523098,7.415520,0.000123
1351.398833,7.399740,0.000155
1354.285026,7.383970,0.000215
1357.185415,7.368190,0.000249
1360.096404,7.352420,0.000187
1363.021765,7.336640,0.000037
1365.959737,7.320860,-0.000028
1368.908528,7.305090,0.000122
1371.871960,7.289310,0.000200
1374.846361,7.273540,0.000298
1377.835586,7.257760,0.000331
1380.837837,7.241980,0.000177
1383.851286,7.226210,0.000321
1386.879839,7.210430,0.000252
1389.919746,7.194660,0.000211
1392.974949,7.178880,0.000552
1396.043612,7.163100,0.000889
1399.123869,7.147330,0.001070
1402.219714,7.131550,0.001297
1405.327315,7.115780,0.001497
1408.450704,7.100000,0.002230
