wn,wl,T
1282.051251,7.800000,0.000000
1283.238336,7.792785,0.000000
1284.425420,7.785582,0.000000
1285.612505,7.778394,0.000000
1286.799589,7.771218,0.000000
1287.986673,7.764055,0.000000
1289.173758,7.756906,0.000000
1290.360842,7.749770,0.000000
1291.547927,7.742647,0.000000
1292.735011,7.735537,0.000000
1293.922096,7.728441,0.000000
1295.109180,7.721357,0.000000
1296.296265,7.714286,0.000000
1297.483349,7.707228,0.000000
1298.670433,7.700183,0.000000
1299.857518,7.693151,0.000000
1301.044602,7.686132,0.000000
1302.231687,7.679125,0.000000
1303.418771,7.672131,0.000000
1304.605856,7.665150,0.000000
1305.792940,7.658182,0.000000
1306.980024,7.651226,0.000000
1308.167109,7.644283,0.000000
1309.354193,7.637353,0.000000
1310.541278,7.630435,0.000000
1311.728362,7.623530,0.000000
1312.915447,7.616637,0.000000
1314.102531,7.609756,0.000000
1315.289616,7.602888,0.000000
1316.476700,7.596033,0.000000
1317.663784,7.589189,0.000000
1318.850869,7.582358,0.000000
1320.037953,7.575540,0.000000
1321.225038,7.568733,0.000000
1322.412122,7.561939,0.000000
1323.599207,7.555157,0.000000
1324.786291,7.548387,0.000000
1325.973375,7.541630,0.000000
1327.160460,7.534884,0.000000
1328.347544,7.528150,0.000000
1329.534629,7.521429,0.000000
1330.721713,7.514719,0.000000
1331.908798,7.508022,0.000000
1333.095882,7.501336,0.000000
1334.282967,7.494662,0.000000
1335.470051,7.488000,0.000000
1336.657135,7.481350,0.000000
1337.844220,7.474712,0.000000
1339.031304,7.468085,0.000000
1340.218389,7.461471,0.000000
1341.405473,7.454867,0.000000
1342.592558,7.448276,0.000000
1343.779642,7.441696,0.000000
1344.966726,7.435128,0.000000
1346.153811,7.428572,0.000000
1347.340895,7.422027,0.000000
1348.527980,7.415493,0.000000
1349.715064,7.408971,0.000000
1350.902149,7.402461,0.000000
1352.089233,7.395962,0.000000
1353.276318,7.389474,0.000000
1354.463402,7.382998,0.000000
1355.650486,7.376533,0.000000
1356.837571,7.370079,0.000000
1358.024655,7.363637,0.000000
1359.211740,7.357205,0.000000
1360.398824,7.350786,0.000000
1361.585909,7.344377,0.000000
1362.772993,7.337979,0.000000
1363.960077,7.331593,0.000000
1365.147162,7.325218,0.000000
1366.334246,7.318853,0.000000
1367.521331,7.312500,0.000000
1368.708415,7.306158,0.000000
1369.895500,7.299827,0.000000
1371.082584,7.293507,0.000000
1372.269669,7.287197,0.000000
1373.456753,7.280899,0.000000
1374.643837,7.274612,0.000000
1375.830922,7.268335,0.000000
1377.018006,7.262069,0.000000
1378.205091,7.255814,0.000000
1379.392175,7.249570,0.000000
1380.579260,7.243336,0.000000
1381.766344,7.237114,0.000000
1382.953429,7.230901,0.000000
1384.140513,7.224700,0.000000
1385.327597,7.218509,0.000000
1386.514682,7.212329,0.000000
1387.701766,7.206159,0.000000
1388.888851,7.200000,1.000000
1390.075935,7.193852,1.000000
1391.263020,7.187714,1.000000
1392.450104,7.181586,1.000000
1393.637188,7.175469,1.000000
1394.824273,7.169362,1.000000
1396.011357,7.163266,1.000000
1397.198442,7.157179,1.000000
1398.385526,7.151104,1.000000
1399.572611,7.145038,1.000000
1400.759695,7.138983,1.000000
1401.946780,7.132938,1.000000
1403.133864,7.126904,1.000000
1404.320948,7.120879,1.000000
1405.508033,7.114865,1.000000
1406.695117,7.108861,1.000000
1407.882202,7.102867,1.000000
1409.069286,7.096883,1.000000
1410.256371,7.090909,1.000000
1411.443455,7.084946,1.000000
1412.630539,7.078992,1.000000
1413.817624,7.073048,0.000000
1415.004708,7.067114,0.000000
1416.191793,7.061190,0.000000
1417.378877,7.055277,0.000000
1418.565962,7.049373,0.000000
1419.753046,7.043478,0.000000
1420.940131,7.037594,0.000000
1422.127215,7.031720,0.000000
1423.314299,7.025855,0.000000
1424.501384,7.020000,0.000000
1425.688468,7.014155,0.000000
1426.875553,7.008320,0.000000
1428.062637,7.002494,0.000000
1429.249722,6.996678,0.000000
1430.436806,6.990872,0.000000
1431.623890,6.985075,0.000000
1432.810975,6.979288,0.000000
1433.998059,6.973510,0.000000
1435.185144,6.967742,0.000000
1436.372228,6.961984,0.000000
1437.559313,6.956235,0.000000
1438.746397,6.950495,0.000000
1439.933482,6.944765,0.000000
1441.120566,6.939045,0.000000
1442.307650,6.933334,0.000000
1443.494735,6.927632,0.000000
1444.681819,6.921939,0.000000
1445.868904,6.916256,0.000000
1447.055988,6.910583,0.000000
1448.243073,6.904918,0.000000
1449.430157,6.899263,0.000000
1450.617241,6.893617,0.000000
1451.804326,6.887981,0.000000
1452.991410,6.882353,0.000000
1454.178495,6.876735,0.000000
1455.365579,6.871126,0.000000
1456.552664,6.865526,0.000000
1457.739748,6.859935,0.000000
1458.926833,6.854353,0.000000
1460.113917,6.848781,0.000000
1461.301001,6.843217,0.000000
1462.488086,6.837663,0.000000
1463.675170,6.832117,0.000000
1464.862255,6.826580,0.000000
1466.049339,6.821053,0.000000
1467.236424,6.815534,0.000000
1468.423508,6.810024,0.000000
1469.610593,6.804524,0.000000
1470.797677,6.799032,0.000000
1471.984761,6.793549,0.000000
1473.171846,6.788074,0.000000
1474.358930,6.782609,0.000000
1475.546015,6.777152,0.000000
1476.733099,6.771704,0.000000
1477.920184,6.766265,0.000000
1479.107268,6.760835,0.000000
1480.294352,6.755413,0.000000
1481.481437,6.750000,0.000000
1482.668521,6.744596,0.000000
1483.855606,6.739200,0.000000
1485.042690,6.733813,0.000000
1486.229775,6.728435,0.000000
1487.416859,6.723065,0.000000
1488.603944,6.717704,0.000000
1489.791028,6.712351,0.000000
1490.978112,6.707007,0.000000
1492.165197,6.701671,0.000000
1493.352281,6.696344,0.000000
1494.539366,6.691025,0.000000
1495.726450,6.685714,0.000000
1496.913535,6.680413,0.000000
1498.100619,6.675119,0.000000
1499.287703,6.669834,0.000000
1500.474788,6.664557,0.000000
1501.661872,6.659289,0.000000
1502.848957,6.654029,0.000000
1504.036041,6.648777,0.000000
1505.223126,6.643533,0.000000
1506.410210,6.638298,0.000000
1507.597295,6.633071,0.000000
1508.784379,6.627852,0.000000
1509.971463,6.622642,0.000000
1511.158548,6.617439,0.000000
1512.345632,6.612245,0.000000
1513.532717,6.607059,0.000000
1514.719801,6.601881,0.000000
1515.906886,6.596711,0.000000
1517.093970,6.591550,0.000000
1518.281054,6.586396,0.000000
